user_id,page,version,,,
253019,payment_page,B,,Total,6030
310478,payment_page,B,,A's,3022
304081,payment_page,A,,B's,3008
901286,payment_page,B,,,
195052,payment_page,A,,,
721699,payment_page,A,,,
266323,payment_page,A,,,
726983,payment_page,B,,,
920853,payment_page,A,,,
331768,payment_page,B,,,
86346,payment_page,A,,,
786801,payment_page,B,,,
534314,payment_page,B,,,
380772,payment_page,A,,,
31984,payment_page,B,,,
511202,payment_page,A,,,
129856,payment_page,B,,,
192794,payment_page,B,,,
91644,payment_page,A,,,
679878,payment_page,B,,,
890129,payment_page,A,,,
320723,payment_page,B,,,
836611,payment_page,B,,,
403411,payment_page,A,,,
882373,payment_page,A,,,
370582,payment_page,B,,,
512591,payment_page,A,,,
606498,payment_page,B,,,
32301,payment_page,B,,,
862445,payment_page,A,,,
459283,payment_page,B,,,
144779,payment_page,A,,,
961279,payment_page,A,,,
731061,payment_page,B,,,
214087,payment_page,A,,,
745289,payment_page,B,,,
826679,payment_page,B,,,
875072,payment_page,A,,,
293832,payment_page,B,,,
303189,payment_page,B,,,
364116,payment_page,A,,,
970597,payment_page,B,,,
877164,payment_page,B,,,
73655,payment_page,A,,,
875703,payment_page,A,,,
255228,payment_page,B,,,
445105,payment_page,B,,,
441896,payment_page,A,,,
411407,payment_page,B,,,
598312,payment_page,B,,,
573137,payment_page,B,,,
718150,payment_page,B,,,
71944,payment_page,A,,,
119028,payment_page,B,,,
779623,payment_page,A,,,
723371,payment_page,A,,,
672834,payment_page,A,,,
360291,payment_page,A,,,
446417,payment_page,B,,,
713032,payment_page,B,,,
389944,payment_page,A,,,
696859,payment_page,A,,,
431821,payment_page,B,,,
357648,payment_page,A,,,
884113,payment_page,A,,,
709255,payment_page,B,,,
435080,payment_page,A,,,
747694,payment_page,B,,,
708679,payment_page,A,,,
886806,payment_page,A,,,
631792,payment_page,B,,,
934114,payment_page,B,,,
724666,payment_page,B,,,
777117,payment_page,B,,,
495047,payment_page,B,,,
890706,payment_page,A,,,
657122,payment_page,A,,,
546782,payment_page,A,,,
768168,payment_page,A,,,
338979,payment_page,A,,,
250932,payment_page,B,,,
406139,payment_page,A,,,
172356,payment_page,A,,,
848519,payment_page,B,,,
401537,payment_page,B,,,
476910,payment_page,B,,,
210028,payment_page,A,,,
888558,payment_page,B,,,
214875,payment_page,B,,,
409019,payment_page,B,,,
709529,payment_page,A,,,
473271,payment_page,B,,,
81850,payment_page,A,,,
582445,payment_page,B,,,
434586,payment_page,A,,,
749181,payment_page,A,,,
793482,payment_page,A,,,
646065,payment_page,A,,,
5065,payment_page,A,,,
701414,payment_page,A,,,
320082,payment_page,A,,,
816735,payment_page,B,,,
345914,payment_page,A,,,
728049,payment_page,A,,,
686018,payment_page,B,,,
383704,payment_page,A,,,
97291,payment_page,A,,,
189009,payment_page,A,,,
689743,payment_page,B,,,
135452,payment_page,B,,,
967908,payment_page,A,,,
315803,payment_page,A,,,
100159,payment_page,A,,,
363839,payment_page,B,,,
301661,payment_page,A,,,
504016,payment_page,A,,,
439638,payment_page,B,,,
188076,payment_page,A,,,
904726,payment_page,B,,,
227268,payment_page,B,,,
245502,payment_page,A,,,
177122,payment_page,B,,,
930628,payment_page,B,,,
523062,payment_page,B,,,
622567,payment_page,B,,,
796093,payment_page,A,,,
582424,payment_page,A,,,
496496,payment_page,A,,,
214674,payment_page,A,,,
504248,payment_page,A,,,
288841,payment_page,A,,,
382467,payment_page,A,,,
154962,payment_page,A,,,
701004,payment_page,A,,,
129792,payment_page,B,,,
618934,payment_page,B,,,
485456,payment_page,B,,,
739972,payment_page,A,,,
503481,payment_page,B,,,
74996,payment_page,B,,,
929035,payment_page,A,,,
58727,payment_page,A,,,
810435,payment_page,B,,,
752740,payment_page,B,,,
992783,payment_page,A,,,
248448,payment_page,B,,,
232693,payment_page,A,,,
365684,payment_page,A,,,
506813,payment_page,A,,,
588871,payment_page,A,,,
812396,payment_page,B,,,
752530,payment_page,A,,,
753437,payment_page,B,,,
912541,payment_page,A,,,
148198,payment_page,B,,,
608238,payment_page,B,,,
375258,payment_page,B,,,
535329,payment_page,B,,,
330654,payment_page,A,,,
309874,payment_page,B,,,
827010,payment_page,A,,,
475651,payment_page,B,,,
735527,payment_page,B,,,
722801,payment_page,B,,,
521395,payment_page,B,,,
328407,payment_page,A,,,
197344,payment_page,A,,,
200303,payment_page,B,,,
630732,payment_page,B,,,
560265,payment_page,B,,,
623732,payment_page,A,,,
281391,payment_page,B,,,
274773,payment_page,B,,,
469342,payment_page,A,,,
489088,payment_page,A,,,
943244,payment_page,A,,,
222999,payment_page,A,,,
811824,payment_page,A,,,
660417,payment_page,B,,,
366251,payment_page,B,,,
26657,payment_page,B,,,
252692,payment_page,B,,,
784968,payment_page,B,,,
923661,payment_page,A,,,
52142,payment_page,B,,,
36120,payment_page,B,,,
640466,payment_page,B,,,
438761,payment_page,B,,,
429826,payment_page,A,,,
46412,payment_page,A,,,
990478,payment_page,A,,,
724422,payment_page,B,,,
440109,payment_page,A,,,
523025,payment_page,A,,,
517919,payment_page,A,,,
298402,payment_page,A,,,
425080,payment_page,B,,,
573430,payment_page,B,,,
